date,amount
2020-04-01,6700
2020-04-02,4380
2020-04-03,1650
2020-04-04,6900
2020-04-05,0
2020-04-06,900
2020-04-07,0
2020-04-08,0
2020-04-09,0
2020-04-10,0
2020-04-11,0
2020-04-12,0
2020-04-13,0
2020-04-14,2900
2020-04-15,0
2020-04-16,250
2020-04-17,0
2020-04-18,0
2020-04-19,0
2020-04-20,2700
2020-04-21,0
2020-04-22,0
2020-04-23,0
2020-04-24,0
2020-04-25,0
2020-04-26,900
2020-04-27,6400
2020-04-28,600
2020-04-29,0
2020-04-30,0
